question;Spalte;V;p;alternative;mu9;v_65;1111,0;3.81e-05;greater;39;v_66;874,0;0.0003707;greater;39;v_67;630,0;0.004285;greater;39;v_68;478,0;0.05446;greater;39;v_69;777,0;0.001397;greater;310;v_146;885,0;0.006984;greater;310;v_147;505,0;0.3456;greater;310;v_148;406,5;0.4083;greater;310;v_149;318,5;0.985;greater;310;v_150;592,0;0.07159;greater;311a;v_152;939,0;0.001457;greater;311b;v_153;178,0;2,56E-05;less;311c;v_154;1086,0;0.0001058;greater;311d;v_155;783,0;0.02944;greater;312a;v_156;1149,0;8,92E-05;greater;312b;v_157;1116,0;3,44E-05;greater;312c;v_158;833,0;0.00511;greater;312d;v_159;753,0;0.9998;less;312e;v_160;599,0;0.9419;less;312f;v_171;868,5;0.001197;greater;312g;v_172;645,0;0.01684;greater;313b;v_162;832,0;0.001878;greater;313c;v_163;701,0;0.06766;greater;313d;v_164;208,0;0.000186;less;313e;v_165;471,0;0.6152;greater;313f;v_175;549,0;0.6453;less;313g;v_176;1074,0;0.001718;greater;313h;v_177;355,0;0.8936;greater;313i;v_178;884,0;0.002698;greater;313j;v_179;892,0;0.002222;greater;313k;v_180;886,0;0.007125;greater;314a;v_166;418,0;0.3474;greater;314b;v_168;269,0;0.06759;less;314c;v_170;190,0;0.9998;greater;314d;v_183;806,5;0.08488;greater;314e;v_184;272,0;0.8922;greater;316a;v_77;990,0;0.0000002452;greater;016b;v_80;528,0;0.00005884;greater;018;v_99;465,0;0.3213;greater;019a;v_196;312,5;0.003551;less;319b;v_197;345,0;0.00207;less;319c;v_198;131,5;1;greater;319d;v_199;272,5;0.0005316;less;319e;v_200;426,0;0.01231;less;320;v_114;276,0;0.6527;greater;021;v_120;325,0;0.5556;greater;022;v_133;435,0;0.3645;greater;023;v_202;120,0;0.9291;greater;024;v_104;90,0;0.1024;less;125;v_106;465,0;0.9582;greater;027;v_213;21,0;1;greater;029;v_217;465,0;0.9582;greater;031a;v_225;82,0;0.0000001791;less;331b;v_226;56,0;0.0000002218;less;331c;v_227;37.5;1;greater;331d;v_228;150,0;1;greater;331e;v_229;82.5;0.0000007548;less;331f;v_230;72,0;1;greater;331g;v_231;145,0;1;greater;331h;v_233;261,0;0.9954;greater;331i;v_400;244.5;1;greater;331j;v_234;112.5;1;greater;331k;v_235;163.5;0.000001004;less;331l;v_270;232,0;0.9999;greater;331m;v_271;222,0;0.9999;greater;331n;v_272;396,0;0.9648;greater;331o;v_273;380.5;0.9965;greater;332a;v_236;497,0;0.0815;less;332b;v_237;698.5;0.124;greater;332c;v_238;454.5;0.7678;greater;332d;v_239;289.5;0.8862;greater;332e;v_240;909,0;0.009324;greater;332f;v_241;143,0;0.000044;less;332g;v_242;352,0;0.7891;greater;332h;v_243;690,0;0.08786;greater;332i;v_244;856,0;0.02996;greater;332j;v_245;403,0;0.9068;greater;332k;v_246;715.5;0.09169;greater;332l;v_247;427.5;0.1047;less;332m;v_248;402,0;0.8675;greater;332n;v_249;87,0;0.000000008022;less;332o;v_250;107.5;0.0000007267;less;332p;v_251;591.5;0.4874;greater;332q;v_252;269.5;0.7801;greater;332r;v_253;103.5;0.0000162;less;332s;v_254;657,0;0.3271;greater;332t;v_255;467,5;0.5294;greater;332u;v_256;181.5;0.001488;less;3
