lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;v_1;v_2;v_3;v_4;v_5;v_6;v_7;v_8;v_9;v_10;v_11;v_12;v_13;v_14;v_15;v_16;v_17;v_18;v_396;v_22;v_23;v_65;v_66;v_67;v_68;v_69;v_146;v_147;v_148;v_149;v_150;v_152;v_153;v_154;v_397;v_155;v_156;v_157;v_158;v_159;v_160;v_171;v_172;v_173;v_174;v_161;v_162;v_163;v_164;v_165;v_175;v_176;v_177;v_178;v_179;v_180;v_166;v_168;v_170;v_183;v_184;v_76;v_77;v_78;v_79;v_80;v_82;v_83;v_84;v_85;v_86;v_87;v_88;v_89;v_90;v_91;v_99;v_100;v_101;v_102;v_103;v_196;v_197;v_198;v_199;v_200;v_113;v_114;v_115;v_116;v_118;v_119;v_120;v_131;v_132;v_133;v_194;v_195;v_135;v_201;v_202;v_203;v_206;v_207;v_205;v_104;v_106;v_107;v_108;v_111;v_112;v_208;v_209;v_213;v_214;v_211;v_215;v_216;v_217;v_218;v_222;v_223;v_224;v_225;v_226;v_227;v_228;v_229;v_230;v_231;v_233;v_400;v_234;v_235;v_270;v_271;v_272;v_273;v_236;v_237;v_238;v_239;v_240;v_241;v_242;v_243;v_244;v_245;v_246;v_247;v_248;v_249;v_250;v_251;v_252;v_253;v_254;v_255;v_256;v_342;v_344;v_346;v_348;v_350;v_391;v_392;v_393;v_394;v_395;v_381;v_382;v_383;v_384;v_385;v_266;browser;referer;quota;quota_assignment;page_history;hflip;vflip;output_mode;javascript;flash;session_id;language;cleaned;ats;datetime;date_of_last_access;date_of_first_mail;rts381045;rts381055;rts381096;rts381268;rts381276;rts381613;rts381638;rts381735;rts381737;rts382176
33;0;0;31;379916;-77;772;7;1;1;1;1;1;0;0;-99;1;Germany;7;-99;2;-99;3;0;0;1;0;-99;5;3;4;4;4;5;4;4;3;4;4;2;4;5;4;5;5;4;3;4;5;4;5;5;4;4;3;5;5;5;4;4;3;5;5;2;1;1;5;3;3;1;1;0;1;0;-99;0;1;0;0;0;0;0;-99;1;0;1;0;-99;4;4;3;4;4;0;0;1;0;0;0;1;0;0;1;0;-99;0;0;0;1;0;-99;0;1;0;1;0;0;-99;1;0;0;-99;0;2;Flexibility!;1;0;0;-99;-99;4;4;4;2;4;2;4;5;4;4;2;4;2;5;4;2;3;4;3;4;2;2;2;4;5;2;4;2;4;3;4;4;2;5;5;2;10;20;9;0;0;overview lost too early;not enough support to fix and desing non-f. requirements;often detected too late ;-66;-66;0;1;0;-77;-77;-99;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11;-99;0;-99;381045,381055,381096,381268,381738,381735,381737,381736,381276,381613,382180,382176,381638,379916;1;0;0;-77;-77;dfb3d907a564b681633c9291b5850808;1;0;1353230140;18.11.12 09:15;18.11.12 09:28;0000-00-00 00:00:00;4;73;224;280;432;629;772;372;379;762
34;0;0;31;379916;-77;862;1;0;1;0;0;0;0;1;Consulting, SW Quality;2;Germany;8;All of them;6;Project Lead, Developer;3;0;1;1;0;-99;3;3;3;4;4;2;2;3;4;4;2;2;4;4;4;4;4;4;4;3;2;4;4;4;1;3;4;1;4;3;2;1;4;2;4;5;5;5;3;3;4;1;0;0;0;0;-99;0;0;0;0;0;1;0;-99;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-66;-77;2;-77;-77;-77;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-66;-66;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;4;3;3;3;3;2;2;4;3;3;3;3;3;3;3;3;3;5;0;0;0;0;Have to change/update features implemented in running iteration;-66;-66;-66;-66;0;-77;-77;-77;-77;-99;"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:16.0) Gecko/20100101 Firefox/16.0";-99;0;-99;381045,381055,381096,381268,381738,381737,381736,381613,382180,382176,381638,379916;1;0;0;-77;-77;e9008bffccd24993bbf0c2270c76bb3c;1;0;1353237280;18.11.12 11:14;18.11.12 11:29;0000-00-00 00:00:00;12;178;495;565;0;798;862;0;572;849
35;0;0;32;379916;-77;-1;3;0;0;0;0;1;0;1;Funktechnologien;1;Germany;4;-99;1;-99;3;0;1;0;0;-99;5;5;5;4;3;5;4;0;0;3;5;1;4;4;3;5;5;5;5;5;5;5;5;4;5;5;5;5;3;4;3;3;5;5;5;5;5;3;5;3;1;0;0;0;0;1;not yet - system requirements are the copies of stakeholder requirements - with all flaws;0;0;0;1;1;0;1;nobody applies those internal standards;0;0;0;1;we do have a complete process description system;0;4;4;4;4;0;0;1;0;0;1;1;0;0;1;1;as customer requests it;0;0;0;0;0;-99;1;1;1;1;0;1;management decision to improve RE in all projects;1;0;1;my role as requirements manager for all new projects;0;2;we have a very good internal business process description system. in RE it is based on CMMI and the best practices from my (RE Manager) previous projects;1;1;1;regular reporting to superior management;our RE metrics reveal the progress in different project quality gates;1;1;1;5;1;3;2;4;1;1;1;4;4;4;4;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;2;1;9;5;20;the communication to customer is done not be technicans but by lawyers;no time, much traveling of System engineers;requirements werde copied from stakeholder requirements;no requirements analysis is done;most requirements are not measurable, they are law-texts;1;1;1;1;1;no- the usual experiences and on and on again;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.14 (KHTML, like Gecko) Version/6.0.1 Safari/536.26.14";-99;0;-99;381045,381055,381096,381268,381738,381735,381737,381736,381276,381613,382180,382176,381638,379916;0;1;0;-77;-77;f1784ad526b0dcf8a5acf5ec3053a5c5;1;0;1353259212;18.11.12 17:20;18.11.12 20:08;0000-00-00 00:00:00;501;1340;1520;8998;9598;9823;10068;9161;9168;10031
36;0;0;31;379916;-77;2600;7;0;0;0;0;0;0;1;Utilities (Energy / Water / Gas / Phone / Public Transport / ...);2;Germany;7;-99;5;-99;3;0;0;0;1;Inhouse Contractor;5;3;4;4;4;5;3;2;2;3;4;2;5;4;3;5;5;4;5;3;4;3;4;4;3;5;3;1;3;3;1;3;1;5;5;2;4;1;5;2;3;1;0;1;1;0;-99;0;0;0;0;1;0;0;-99;1;0;0;0;-99;3;2;4;1;4;0;1;0;0;0;0;1;0;0;1;0;-99;0;0;1;0;0;-99;0;1;1;0;0;0;-99;0;0;1;An internal task force;0;1;-99;1;0;0;-99;-99;2;1;1;4;3;4;4;3;4;3;2;1;3;5;3;4;4;2;3;5;1;2;4;4;2;4;3;1;1;1;5;3;3;4;4;4;5;16;21;11;8;feedback while testing;request for changes;Number of changes posted in the time until the software ist realized;Number of changes posted in the time until the software ist realized;recognizing in the end of an project, that other solutions would better satisfy the goals;1;1;0;0;0;-99;"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:16.0) Gecko/20100101 Firefox/16.0";-99;0;-99;381045,381055,381096,381268,381738,381735,381737,381736,381276,381613,382180,382176,381638,379916;1;0;0;-77;-77;b6a95f25d8db61f08331f645f9b1e6cd;1;0;1353266792;18.11.12 19:26;18.11.12 20:09;0000-00-00 00:00:00;23;364;1003;1210;1823;2235;2600;1484;1491;2576
37;0;0;31;379916;-77;916;5;0;0;1;0;0;0;0;-99;1;Switzerland;4;-99;1;-99;3;1;0;1;0;-99;5;4;4;4;3;4;4;3;3;2;5;1;4;4;3;4;5;1;3;3;4;4;5;3;2;4;2;3;3;3;4;4;4;5;3;2;3;3;3;3;4;1;1;1;0;0;-99;0;1;0;0;0;0;0;-99;0;1;0;0;-99;5;4;3;2;3;1;0;1;0;0;1;0;0;0;1;0;-99;0;0;1;0;0;-99;0;1;0;1;0;0;-99;1;0;0;-99;0;1;-99;0;1;0;-99;-99;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;3;3;2;4;3;2;1;3;2;1;2;2;2;1;1;3;2;2;1;0;0;0;0;0;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-99;"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; GTB7.4; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)";-99;0;-99;381045,381055,381096,381268,381738,381735,381737,381736,381276,381613,382180,381638,379916;1;0;0;-77;-77;92fb81334912159846122fd1f7fd4a17;1;0;1353307924;19.11.12 06:52;19.11.12 07:07;0000-00-00 00:00:00;4;74;426;510;756;914;916;620;644;0
38;0;0;32;379916;-77;-1;7;0;0;0;0;0;0;1;Car products supplier;1;Germany;8;-99;1;-99;3;1;1;1;0;-99;4;5;4;4;3;5;4;3;2;3;5;4;4;4;5;5;4;3;4;4;4;5;4;4;4;4;5;4;4;3;4;4;5;4;5;3;2;4;3;3;3;1;1;0;0;0;-99;1;1;0;0;0;0;0;-99;1;1;0;0;-99;4;3;4;3;4;0;1;0;0;0;0;1;0;1;0;0;-99;0;0;1;0;0;-99;0;1;1;1;0;0;-99;1;0;0;-99;0;2;-99;1;0;0;-99;-99;2;3;3;3;4;3;2;4;2;3;2;2;2;2;2;3;4;4;4;3;3;3;4;3;2;3;2;3;4;3;0;3;3;4;3;3;11;16;0;0;0;as system changes rapidly, long term targets are hard to fix;Development cycles stay the same but the amount of requirements is increasing permanently ;-66;-66;-66;1;1;-77;-77;-77;-99;"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)";-99;0;-99;381045,381055,381096,381268,381738,381735,381737,381736,381276,381613,382180,382176,381638,379916;1;1;0;-77;-77;bb3365587a6dcf40d1df076faac27ecb;1;0;1353309278;19.11.12 07:14;20.11.12 05:47;0000-00-00 00:00:00;48;194;580;663;3796;81063;81191;3670;3675;81172
39;0;0;31;379916;-77;856;2;0;0;0;1;0;0;0;-99;1;Germany;8;Medical devices;0;-99;3;0;1;0;0;-99;5;5;0;0;5;1;3;4;4;1;5;1;5;5;4;5;3;4;5;4;3;3;3;4;3;3;3;0;4;4;4;4;4;4;5;3;3;3;1;2;4;1;0;0;0;0;-99;0;0;1;1;1;0;0;-99;1;0;1;0;-99;5;5;0;5;5;0;0;1;0;1;0;0;1;0;1;0;-99;0;0;0;1;0;-99;0;1;1;0;0;0;-99;1;0;0;-99;0;2;Simplicity and pragmatism;1;0;0;-99;-99;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;3;3;5;5;5;3;3;5;3;3;3;3;3;1;2;1;2;1;2;2;3;19;3;4;2;1;Agreed design solutions fail in validation;Overlenghty project meetings;agreed upon deliverables not produced;repeated meetings on the same subject;repeated work to complete a deliverable;1;1;0;0;0;-99;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11;-99;0;-99;381045,381055,381096,381268,381738,381735,381737,381736,381276,381613,382180,382176,381638,379916;1;0;0;-77;-77;590ac3d2ac02f0e05879f709e246d515;1;0;1353310663;19.11.12 07:37;19.11.12 07:51;0000-00-00 00:00:00;4;63;257;309;503;722;856;427;434;845
40;0;0;31;379916;-77;985;7;0;0;0;0;0;0;1;Aerospace;1;Germany;5;-99;4;-99;3;0;0;0;1;Consultant;3;3;5;4;4;3;3;4;4;3;4;1;5;3;4;5;3;4;4;3;4;3;2;2;3;4;4;2;2;4;3;4;3;4;5;2;2;2;5;4;3;0;0;1;1;0;-99;0;0;0;0;0;0;1;ECSS;1;0;0;0;-99;3;4;4;3;3;0;0;1;0;0;1;1;0;0;0;0;-99;1;0;0;0;0;-99;0;2;-77;-77;-77;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-66;-66;3;1;1;3;3;4;3;3;4;3;0;0;0;0;0;4;5;4;3;2;1;2;4;4;3;2;2;3;2;2;4;3;2;2;3;3;2;1;0;0;0;-99;-99;-66;-66;-66;1;0;-77;-77;-77;-99;"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)";-99;0;-99;381045,381055,381096,381268,381738,381735,381737,381736,381613,382180,382176,381638,379916;0;1;0;-77;-77;092f049af9b782fda9b0c6653dfa9cee;1;0;1353312454;19.11.12 08:07;19.11.12 08:23;0000-00-00 00:00:00;25;128;438;538;0;933;985;664;671;971
41;0;0;20;0;-77;0;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-66;-77;-66;-77;-66;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-66;"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E; InfoPath.2; MS-RTC LM 8)";-99;0;-99;0;1;1;0;-77;-77;77602901db427015748ca45d2cfea161;1;0;1353312990;19.11.12 08:16;19.11.12 08:16;0000-00-00 00:00:00;0;0;0;0;0;0;0;0;0;0
42;0;0;22;381055;-77;0;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-66;-77;-66;-77;-66;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-66;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11";-99;0;-99;381045,3811;1;0;0;-77;-77;6bd43aa157561f8a97a1f4517a913ae8;1;0;1353320925;19.11.12 10:28;19.11.12 10:28;0000-00-00 00:00:00;5;0;0;0;0;0;0;0;0;0
43;0;0;32;379916;-77;-1;2;0;1;0;0;0;0;0;-99;2;Germany;8;Web / SaaS / Print-Production;4;-99;3;0;1;0;0;-99;3;4;4;4;5;3;4;3;3;5;3;2;4;4;2;3;3;4;4;2;3;3;5;5;3;4;2;3;2;4;4;4;4;4;4;3;3;2;4;4;3;1;0;0;1;0;-99;0;0;0;1;0;0;0;-99;1;0;0;0;-99;2;4;2;2;3;1;0;0;0;1;0;0;1;0;0;0;-99;0;0;0;1;0;-99;0;1;1;0;0;0;-99;1;0;0;-99;0;2;-99;1;0;0;-99;-99;2;2;1;2;1;1;1;2;3;2;1;2;3;5;4;2;2;2;1;4;3;3;3;4;2;3;3;4;4;4;4;3;3;3;2;2;5;9;16;18;0;-99;-99;-99;-99;-66;1;1;0;0;-77;-99;"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.64 Safari/537.11";-99;0;-99;381045,381055,381055,381055,381096,381268,381738,381735,381737,381736,381276,381613,382180,382176,381638,379916;0;0;0;-77;-77;8d15216b8cf910c417c20279b8adbeea;1;0;1353345098;19.11.12 17:11;26.11.12 08:35;0000-00-00 00:00:00;22;572782;573122;573235;573469;573800;573852;573396;573402;573832
44;0;0;31;379916;-77;675;7;1;1;1;1;1;0;0;-99;1;Germany;7;-99;4;-99;2;0;1;0;0;-99;4;2;4;5;1;5;2;4;4;5;2;3;2;3;4;2;2;4;4;5;0;3;4;5;4;3;4;1;0;0;4;1;4;4;3;3;2;2;5;3;3;0;0;0;0;0;-99;0;0;1;0;0;0;0;-99;0;0;0;0;-99;1;1;1;1;1;0;1;0;0;0;0;1;0;0;1;1;The customer defines and tailors the process in many projects.;0;0;0;0;0;-99;1;2;-77;-77;-77;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-66;-66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;1;5;1;2;3;4;1;1;1;3;1;4;1;1;2;4;2;1;2;5;9;18;0;Sending documents via mail instead of talking .... as a result, misunderstandings increase;wrong implementations;wrong implementations, expensive change processes;wasted money and time;-66;1;0;0;1;-77;-99;"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.162 Safari/535.19";-99;0;-99;381045,381055,381096,381268,381738,381735,381737,381736,381613,382180,382176,381638,379916;1;1;0;-77;-77;442a8ea8a2dce594e3b5477f33e6af7e;1;0;1353359324;19.11.12 21:08;19.11.12 21:20;0000-00-00 00:00:00;37;105;275;337;0;596;676;439;445;664
45;0;0;20;0;-77;0;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-66;-77;-66;-77;-66;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-66;"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; DPAG; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E; DPAG)";-99;0;-99;0;0;1;0;-77;-77;fab90cbd0f3abd5d309bd04649931b5d;1;0;1353407502;20.11.12 10:31;20.11.12 10:31;0000-00-00 00:00:00;0;0;0;0;0;0;0;0;0;0
46;0;0;31;379916;-77;2297;1;1;0;0;1;0;0;0;-99;2;Germany;4;-99;2;-99;2;0;0;1;0;-99;4;3;5;4;5;3;2;3;1;4;5;1;4;4;5;5;5;5;3;3;3;4;2;3;4;5;4;3;2;5;5;3;4;3;2;2;1;1;4;4;3;1;0;0;1;0;-99;1;0;0;0;0;0;0;-99;1;0;0;0;-99;1;4;2;5;4;0;1;0;0;1;0;0;0;0;1;0;-99;0;1;0;0;0;-99;0;1;1;0;0;0;-99;0;0;0;-99;1;1;-99;1;0;0;-99;-99;1;1;1;1;1;1;2;1;2;2;2;1;2;3;1;2;4;3;2;3;2;1;3;4;1;5;3;1;1;1;5;3;2;4;4;2;11;16;19;20;9;leads to changes during development phase, by the customer;the timepoint of the release is the most important;leads to changes during development phase, by the developers or testers;customers often realize those req. too late, e.g. at delivery;often detected by the test developers;1;0;0;0;0;-99;"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E)";-99;0;-99;381045,381055,381096,381268,381738,381735,381737,381736,381276,381613,382180,382176,381638,379916;1;0;0;-77;-77;abcdc4b1c20432c480e803eaf709e62e;1;0;1353407589;20.11.12 10:33;20.11.12 11:11;0000-00-00 00:00:00;20;140;685;863;1259;1710;2297;1198;1201;2277
47;0;0;31;379916;-77;2011;7;0;0;0;0;0;0;1;Patents;2;Germany;7;-99;2;-99;2;1;0;0;0;-99;5;4;4;3;4;5;4;4;3;5;4;3;3;4;3;4;4;4;4;5;4;5;5;3;5;4;4;3;3;4;5;5;4;4;5;4;4;1;2;1;4;1;0;0;1;0;-99;0;0;1;1;0;0;0;-99;1;0;0;0;-99;4;1;1;4;5;1;0;0;0;1;0;0;0;1;0;0;-99;0;0;0;0;0;-99;1;2;-77;-77;-77;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-66;-66;5;3;4;4;2;1;3;3;4;4;1;2;1;5;5;1;2;2;2;4;1;1;2;4;5;4;5;1;1;1;2;2;1;1;1;1;5;10;11;12;9;"Discussion in Change requests; increasing tests";Increasing Systemtests ;"Discussion; Circumvention of change requests";unfair treatment of different groups of users;Discussion,;1;0;0;0;1;-99;"Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; InfoPath.1)";-99;0;-99;381045,381055,381096,381268,381738,381735,381737,381736,381613,382180,382176,381638,379916;0;0;0;-77;-77;a1954689d401f4e1ccb361ea846c8c34;1;0;1353408074;20.11.12 10:41;20.11.12 11:14;0000-00-00 00:00:00;11;130;766;904;0;1659;2011;1159;1169;1980
48;0;0;20;0;-77;0;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-66;-77;-66;-77;-66;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-66;-77;-77;-66;-77;-77;-77;-66;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-66;-66;-66;-66;-77;-77;-77;-77;-77;-66;"Mozilla/5.0 (Windows NT 5.1; rv:10.0.7) Gecko/20100101 Firefox/10.0.7";-99;0;-99;0;0;0;0;-77;-77;5a7ae8f2c70dad1955d6a8ac1800ad0e;1;0;1353423105;20.11.12 14:51;20.11.12 14:51;0000-00-00 00:00:00;0;0;0;0;0;0;0;0;0;0
49;0;0;31;379916;-77;2524;3;0;1;0;0;0;0;0;-99;2;Germany;8;Online Marketing;4;-99;2;0;0;1;0;-99;2;2;5;5;4;5;3;4;4;5;2;4;3;3;2;4;4;1;4;5;3;5;5;5;1;4;5;1;4;4;2;1;3;3;3;5;1;4;4;2;4;0;1;1;0;0;-99;0;0;0;1;0;0;0;-99;0;0;0;0;-99;2;2;2;2;2;1;0;0;0;0;0;1;1;0;0;0;-99;0;0;0;0;0;-99;1;1;1;0;0;0;-99;0;0;0;-99;1;2;Potential overhead, little use;1;1;0;-99;Weekly team reviews;1;1;1;1;1;1;2;5;3;1;1;4;3;4;1;2;3;4;3;4;2;3;5;4;2;5;2;2;2;1;5;5;2;2;4;2;11;8;17;16;9;features that did not get finished because other features became more important;sticking to what's there although it's more complicated and less effective than innovative changes;prototypes for new features don't get incorporated;no time for customer-driven improvements after feature rollout;don't have a good example right now;1;0;0;1;0;If automated acceptance tests (http://cukes.info/ in our case) don't count as formal requirements then my answers are probably misleading...;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Ubuntu/12.10 Chromium/22.0.1229.94 Chrome/22.0.1229.94 Safari/537.4";-99;0;-99;381045,381055,381096,381268,381738,381735,381737,381736,381276,381613,382180,382176,381638,379916;1;0;0;-77;-77;b32b53703890138f9e20b4b95e00f1cd;1;0;1353438857;20.11.12 19:14;20.11.12 19:56;0000-00-00 00:00:00;6;86;401;1560;1863;2183;2524;1702;1707;2432
50;0;0;31;379916;-77;698;3;1;0;1;0;0;0;0;-99;2;germany;4;-99;1;-99;3;0;1;1;0;-99;4;4;4;3;3;3;4;4;2;3;3;2;2;2;3;3;5;4;4;3;3;2;3;4;2;3;2;1;1;1;1;1;4;4;4;3;3;3;5;5;3;1;1;1;1;0;-99;0;0;0;0;0;1;0;-99;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-66;-77;-77;-77;-77;-77;-66;-77;1;1;0;0;0;-99;0;0;0;-99;1;2;-99;1;0;0;-99;-99;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;2;2;2;4;3;3;2;2;3;2;2;3;2;4;3;2;5;4;17;0;0;surprise of business in prototyping/testing phase;"nothing is done; e.g. infrastructure not ready for testing";-99;-66;-66;1;0;0;-77;-77;-99;"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; BOIE9;ENUS)";-99;0;-99;381045,381055,381096,381268,381738,381737,381736,381276,381613,382180,382176,381638,379916;1;0;0;-77;-77;d3be7b34c7d9044d2ec91ae757da47a2;1;0;1353482917;21.11.12 07:28;21.11.12 07:40;0000-00-00 00:00:00;14;73;298;364;425;608;698;0;369;680
